M;T;W;T;F;S;S;HH;MM;RND_MM;DURATION;TEXT;ACTION;DATA;
1;1;1;1;1;1;1;07;15;05;15;Breakfast;ACT_EAT_BREAKFAST_ALL-WEEK;FF;
1;1;1;1;1;0;0;08;00;05;25;Leaving home for school;ACT_GOTO_SCHOOL_WEEKDAYS;FF;
1;1;1;1;1;1;0;10;00;05;5;Daily prayer;ACT_DAILY_PRAYER_MON-SAT;FF;
1;1;1;1;1;1;1;12;15;05;35;Lunch;ACT_EAT_LUNCH_ALL-WEEK;FF;
1;1;1;1;1;0;0;16;30;05;25;Leaving school;ACT_GOTO_HOME_WEEKDAYS;FF;
1;1;1;1;1;0;0;17;15;05;15;Shower time;ACT_SHOWER_WEEKDAYS;FF;
1;0;0;0;0;0;0;17;45;05;45;Singing lesson;ACT_SINGING_LESSON_WEEKDAYS;FF;
0;1;0;0;0;0;0;17;45;05;45;Ballet lesson;ACT_BALLET_LESSON_WEEKDAYS;FF;
0;0;1;0;0;0;0;17;45;05;45;Piano lesson;ACT_PIANO_LESSON_WEEKDAYS;FF;
0;0;0;1;0;0;0;17;45;05;45;Mandarin lesson;ACT_MANDARIN_LESSON_WEEKDAYS;FF;
0;0;0;0;1;0;0;17;45;05;45;Swimming lesson;ACT_SWIMMING_LESSON_WEEKDAYS;FF;
1;1;1;1;1;1;1;19;30;05;25;Dinner;ACT_DINNER_WEEKDAYS;FF;
1;1;1;1;1;0;0;22;00;10;540;Bedtime;ACT_BEDTIME_WEEKDAYS;FF;
0;0;0;0;0;1;0;08;00;05;60;Tennis lesson;ACT_TENNIS_LESSON_WEEKEND;FF;
0;0;0;0;0;0;1;08;00;05;60;Sunday mass;ACT_MASS_SUNDAY;FF;
0;0;0;0;0;1;1;18;15;05;15;Shower time;ACT_SHOWER_WEEKEND;FF;
0;0;0;0;0;1;1;23;00;10;540;Bedtime;ACT_BEDTIME_WEEKEND;FF;
1;0;0;0;0;0;0;09;30;02;5;Nice week;ACT_GOOD_WEEK;FF;
0;0;0;0;0;1;0;09;30;05;5;Nice weekend;ACT_GOOD_WEEKEND;FF;
1;1;1;1;1;1;1;12;01;01;5;Good afternoon;ACT_GOOD_AFTERNOON;FF;
1;1;1;1;1;1;1;19;00;01;5;Good evening;ACT_GOOD_EVENING;FF;
1;1;1;1;1;1;1;08;*/14;01;1;Random magic trick;ACT_RND_MAGIC_ALL-WEEK;FF;
1;1;1;1;1;1;1;10;*/14;01;1;Random magic trick;ACT_RND_MAGIC_ALL-WEEK;FF;
1;1;1;1;1;1;1;12;*/14;01;1;Random magic trick;ACT_RND_MAGIC_ALL-WEEK;FF;
1;1;1;1;1;1;1;14;*/14;01;1;Random magic trick;ACT_RND_MAGIC_ALL-WEEK;FF;
1;1;1;1;1;1;1;16;*/14;01;1;Random magic trick;ACT_RND_MAGIC_ALL-WEEK;FF;
1;1;1;1;1;1;1;18;*/14;01;1;Random magic trick;ACT_RND_MAGIC_ALL-WEEK;FF;
1;1;1;1;1;1;1;20;*/14;01;1;Random magic trick;ACT_RND_MAGIC_ALL-WEEK;FF;
1;1;1;1;1;1;1;22;*/14;01;1;Random magic trick;ACT_RND_MAGIC_ALL-WEEK;FF;
1;1;1;1;1;1;1;09;*/14;01;1;Random friend visit;ACT_RND_FRIENDS_ALL-WEEK;FF;
1;1;1;1;1;1;1;11;*/14;01;1;Random friend visit;ACT_RND_FRIENDS_ALL-WEEK;FF;
1;1;1;1;1;1;1;13;*/14;01;1;Random friend visit;ACT_RND_FRIENDS_ALL-WEEK;FF;
1;1;1;1;1;1;1;15;*/14;01;1;Random friend visit;ACT_RND_FRIENDS_ALL-WEEK;FF;
1;1;1;1;1;1;1;17;*/14;01;1;Random friend visit;ACT_RND_FRIENDS_ALL-WEEK;FF;
1;1;1;1;1;1;1;19;*/14;01;1;Random friend visit;ACT_RND_FRIENDS_ALL-WEEK;FF;
1;1;1;1;1;1;1;21;*/14;01;1;Random friend visit;ACT_RND_FRIENDS_ALL-WEEK;FF;
1;1;1;1;1;1;1;23;*/14;01;1;Random friend visit;ACT_RND_FRIENDS_ALL-WEEK;FF;
